index,p,log_ret
2019-04-11T00:00:00Z,5323.47,0
2019-04-11T00:00:01Z,5323.47,0
2019-04-11T00:00:02Z,5323.47,0
2019-04-11T00:00:03Z,5323.47,0
2019-04-11T00:00:04Z,5325.74,0.000426322710206827
2019-04-11T00:00:05Z,5326.59,0.000159589498598794
2019-04-11T00:00:06Z,5326.59,0
2019-04-11T00:00:07Z,5326.59,0
2019-04-11T00:00:08Z,5326.59,0
2019-04-11T00:00:09Z,5326.59,0
2019-04-11T00:00:10Z,5326.59,0
2019-04-11T00:00:11Z,5326.59,0
2019-04-11T00:00:12Z,5328.03,0.00027030527766679
2019-04-11T00:00:13Z,5328.03,0
2019-04-11T00:00:14Z,5328.03,0
2019-04-11T00:00:15Z,5328.03,0
2019-04-11T00:00:16Z,5325.74,-0.000429894776265637
2019-04-11T00:00:17Z,5325.74,0
2019-04-11T00:00:18Z,5325.74,0
2019-04-11T00:00:19Z,5325.74,0
2019-04-11T00:00:20Z,5325.74,0
2019-04-11T00:00:21Z,5325.74,0
2019-04-11T00:00:22Z,5325.74,0
2019-04-11T00:00:23Z,5325.74,0
2019-04-11T00:00:24Z,5325.74,0
2019-04-11T00:00:25Z,5325.74,0
2019-04-11T00:00:26Z,5325.77,5.63300414704339e-06
2019-04-11T00:00:27Z,5325.77,0
2019-04-11T00:00:28Z,5325.77,0
2019-04-11T00:00:29Z,5325.77,0
2019-04-11T00:00:30Z,5325.77,0
2019-04-11T00:00:31Z,5325.77,0
2019-04-11T00:00:32Z,5325.77,0
2019-04-11T00:00:33Z,5328,0.000418631157340077
2019-04-11T00:00:34Z,5328.04,7.50747932624923e-06
2019-04-11T00:00:35Z,5328.04,0
2019-04-11T00:00:36Z,5328.04,0
2019-04-11T00:00:37Z,5326.6,-0.000270304770272349
2019-04-11T00:00:38Z,5326.6,0
2019-04-11T00:00:39Z,5326.6,0
2019-04-11T00:00:40Z,5326.6,0
2019-04-11T00:00:41Z,5326.6,0
2019-04-11T00:00:42Z,5326.6,0
2019-04-11T00:00:43Z,5326.6,0
2019-04-11T00:00:44Z,5329.26,0.000499255818911197
2019-04-11T00:00:45Z,5329.26,0
2019-04-11T00:00:46Z,5329.98,0.000135094059444001
2019-04-11T00:00:47Z,5329.98,0
2019-04-11T00:00:48Z,5329.98,0
2019-04-11T00:00:49Z,5329.98,0
2019-04-11T00:00:50Z,5330.57,0.000110688473034237
2019-04-11T00:00:51Z,5330.57,0
2019-04-11T00:00:52Z,5330.57,0
2019-04-11T00:00:53Z,5331.27,0.000131309417700168
2019-04-11T00:00:54Z,5331.27,0
2019-04-11T00:00:55Z,5331.27,0
2019-04-11T00:00:56Z,5331.27,0
2019-04-11T00:00:57Z,5331.27,0
2019-04-11T00:00:58Z,5331.27,0
2019-04-11T00:00:59Z,5331.27,0
2019-04-11T00:01:00Z,5330.98,-5.43975239883649e-05
2019-04-11T00:01:01Z,5330.98,0
2019-04-11T00:01:02Z,5330.98,0
2019-04-11T00:01:03Z,5329.64,-0.000251392509451852
2019-04-11T00:01:04Z,5329.64,0
2019-04-11T00:01:05Z,5329.64,0
2019-04-11T00:01:06Z,5329.64,0
2019-04-11T00:01:07Z,5329.64,0
2019-04-11T00:01:08Z,5329.64,0
2019-04-11T00:01:09Z,5329.64,0
2019-04-11T00:01:10Z,5329.64,0
2019-04-11T00:01:11Z,5329.64,0
2019-04-11T00:01:12Z,5330.96,0.000247640846996519
2019-04-11T00:01:13Z,5330.96,0
2019-04-11T00:01:14Z,5328.93,-0.00038086697415059
2019-04-11T00:01:15Z,5328.93,0
2019-04-11T00:01:16Z,5328.93,0
2019-04-11T00:01:17Z,5328.93,0
2019-04-11T00:01:18Z,5328.93,0
2019-04-11T00:01:19Z,5328.93,0
2019-04-11T00:01:20Z,5328.93,0
2019-04-11T00:01:21Z,5328.93,0
2019-04-11T00:01:22Z,5328.93,0
2019-04-11T00:01:23Z,5326.86,-0.000388521175068019
2019-04-11T00:01:24Z,5326.86,0
2019-04-11T00:01:25Z,5326.86,0
2019-04-11T00:01:26Z,5325.73,-0.000212154979068698
2019-04-11T00:01:27Z,5325.73,0
2019-04-11T00:01:28Z,5325.73,0
2019-04-11T00:01:29Z,5325.73,0
2019-04-11T00:01:30Z,5325.73,0
2019-04-11T00:01:31Z,5325.73,0
2019-04-11T00:01:32Z,5325.73,0
2019-04-11T00:01:33Z,5325.73,0
2019-04-11T00:01:34Z,5325.73,0
2019-04-11T00:01:35Z,5325.73,0
2019-04-11T00:01:36Z,5325.73,0
2019-04-11T00:01:37Z,5325.73,0
2019-04-11T00:01:38Z,5325.73,0
2019-04-11T00:01:39Z,5325.73,0
2019-04-11T00:01:40Z,5325.73,0
2019-04-11T00:01:41Z,5325.73,0
2019-04-11T00:01:42Z,5325.73,0
2019-04-11T00:01:43Z,5325.73,0
2019-04-11T00:01:44Z,5328.55,0.000529364737148707
2019-04-11T00:01:45Z,5328.55,0
2019-04-11T00:01:46Z,5328.55,0
2019-04-11T00:01:47Z,5328.55,0
2019-04-11T00:01:48Z,5328.55,0
2019-04-11T00:01:49Z,5328.55,0
2019-04-11T00:01:50Z,5328.55,0
2019-04-11T00:01:51Z,5328.55,0
2019-04-11T00:01:52Z,5328.55,0
2019-04-11T00:01:53Z,5328.55,0
2019-04-11T00:01:54Z,5328.55,0
2019-04-11T00:01:55Z,5328.55,0
2019-04-11T00:01:56Z,5328.55,0
2019-04-11T00:01:57Z,5328.55,0
2019-04-11T00:01:58Z,5328.55,0
2019-04-11T00:01:59Z,5328.55,0
2019-04-11T00:02:00Z,5328.55,0
2019-04-11T00:02:01Z,5328.55,0
2019-04-11T00:02:02Z,5328.55,0
2019-04-11T00:02:03Z,5328.82,5.0669161351719e-05
2019-04-11T00:02:04Z,5328.82,0
2019-04-11T00:02:05Z,5328.82,0
2019-04-11T00:02:06Z,5328.82,0
2019-04-11T00:02:07Z,5328.82,0
2019-04-11T00:02:08Z,5328.82,0
2019-04-11T00:02:09Z,5328.82,0
2019-04-11T00:02:10Z,5328.82,0
2019-04-11T00:02:11Z,5328.82,0
2019-04-11T00:02:12Z,5328.82,0
2019-04-11T00:02:13Z,5328.82,0
2019-04-11T00:02:14Z,5328.82,0
2019-04-11T00:02:15Z,5328.82,0
2019-04-11T00:02:16Z,5328.82,0
2019-04-11T00:02:17Z,5328.82,0
2019-04-11T00:02:18Z,5328.82,0
2019-04-11T00:02:19Z,5328.82,0
2019-04-11T00:02:20Z,5328.82,0
2019-04-11T00:02:21Z,5328.82,0
2019-04-11T00:02:22Z,5328.82,0
2019-04-11T00:02:23Z,5328.82,0
2019-04-11T00:02:24Z,5328.82,0
2019-04-11T00:02:25Z,5328.82,0
2019-04-11T00:02:26Z,5329.83,0.000189517434763962
2019-04-11T00:02:27Z,5329.83,0
2019-04-11T00:02:28Z,5329.83,0
2019-04-11T00:02:29Z,5329.83,0
2019-04-11T00:02:30Z,5329.83,0
2019-04-11T00:02:31Z,5329.83,0
2019-04-11T00:02:32Z,5329.82,-1.87623421030829e-06
2019-04-11T00:02:33Z,5329.82,0
2019-04-11T00:02:34Z,5328.82,-0.000187641200553614
2019-04-11T00:02:35Z,5328,-0.000153892061913
2019-04-11T00:02:36Z,5328,0
2019-04-11T00:02:37Z,5328,0
2019-04-11T00:02:38Z,5328,0
2019-04-11T00:02:39Z,5328,0
2019-04-11T00:02:40Z,5328,0
2019-04-11T00:02:41Z,5326.49,-0.000283448576160869
2019-04-11T00:02:42Z,5326.49,0
2019-04-11T00:02:43Z,5326.21,-5.25688323268514e-05
2019-04-11T00:02:44Z,5326.21,0
2019-04-11T00:02:45Z,5326.21,0
2019-04-11T00:02:46Z,5326.21,0
2019-04-11T00:02:47Z,5326.21,0
2019-04-11T00:02:48Z,5326.21,0
2019-04-11T00:02:49Z,5326.21,0
2019-04-11T00:02:50Z,5326.21,0
2019-04-11T00:02:51Z,5327.22,0.000189610295092896
2019-04-11T00:02:52Z,5327.22,0
2019-04-11T00:02:53Z,5327.22,0
2019-04-11T00:02:54Z,5327.22,0
2019-04-11T00:02:55Z,5327.22,0
2019-04-11T00:02:56Z,5327.22,0
2019-04-11T00:02:57Z,5327.22,0
2019-04-11T00:02:58Z,5327.22,0
2019-04-11T00:02:59Z,5327.22,0
2019-04-11T00:03:00Z,5327.22,0
2019-04-11T00:03:01Z,5327.22,0
2019-04-11T00:03:02Z,5327.22,0
2019-04-11T00:03:03Z,5327.22,0
2019-04-11T00:03:04Z,5327.22,0
2019-04-11T00:03:05Z,5327.22,0
2019-04-11T00:03:06Z,5327.22,0
2019-04-11T00:03:07Z,5327.22,0
2019-04-11T00:03:08Z,5327.22,0
2019-04-11T00:03:09Z,5327.22,0
2019-04-11T00:03:10Z,5327.22,0
2019-04-11T00:03:11Z,5327.22,0
2019-04-11T00:03:12Z,5327.22,0
2019-04-11T00:03:13Z,5327.22,0
2019-04-11T00:03:14Z,5327.22,0
2019-04-11T00:03:15Z,5327.22,0
2019-04-11T00:03:16Z,5327.22,0
2019-04-11T00:03:17Z,5329.77,0.000478559152005651
