id,t,s,p,q,date,Symbol
bitstamp,2019-05-17T00:00:06.494535Z,btcusd,7879.28,0.71869302,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:08.014658Z,btcusd,7883.59,0.31582125,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:17.572122Z,btcusd,7883.57,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:17.646496Z,btcusd,7883.59,0.68417875,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:17.725624Z,btcusd,7883.63,0.01970346,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:17.798756Z,btcusd,7885.44,0.48760127,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:24.028094Z,btcusd,7886.46,0.3281696,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:32.894173Z,btcusd,7879.28,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:33.060221Z,btcusd,7879.28,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:33.991913Z,btcusd,7879.28,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:34.080760Z,btcusd,7879.28,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:35.376532Z,btcusd,7879.28,0.00826769,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:36.022289Z,btcusd,7879.28,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:36.124255Z,btcusd,7879.28,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:36.930507Z,btcusd,7879.28,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:37.064963Z,btcusd,7879.28,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:00:37.937620Z,btcusd,7879.28,0.02,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:01:13.344385Z,btcusd,7879.28,0.08958575,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:01:14.118390Z,btcusd,7879.28,0.04619814,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:01:31.688484Z,btcusd,7879.29,0.02247545,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:01:32.530041Z,btcusd,7879.29,0.02247579,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:01:33.511338Z,btcusd,7879.29,0.015,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:01:52.500787Z,btcusd,7888.24,0.006218,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:02:01.505072Z,btcusd,7879.28,0.19020282,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:02:01.884538Z,btcusd,7879.28,0.08418937,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:02:04.955581Z,btcusd,7879.28,0.08979752,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:02:05.613561Z,btcusd,7879.28,0.29897741,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:02:17.477568Z,btcusd,7889.37,0.92550034,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:02:53.478160Z,btcusd,7879.3,0.01308046,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:03:24.571992Z,btcusd,7886.91,0.0497238,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:03:36.246643Z,btcusd,7879.31,0.01148523,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:03:36.588452Z,btcusd,7886.92,0.002106,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:03:37.280536Z,btcusd,7879.41,0.00551857,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:04:11.787520Z,btcusd,7891.46,0.03894861,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:04:17.529735Z,btcusd,7889.19,0.69074353,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:04:22.366138Z,btcusd,7895.7,0.00278496,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:05:08.495502Z,btcusd,7896.8,0.00476189,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:05:11.996154Z,btcusd,7898.13,0.01116015,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:05:22.189074Z,btcusd,7898.42,0.00696201,2019-05-17,BTC / USD
bitstamp,2019-05-17T00:05:22.264706Z,btcusd,7900.03,0.005,2019-05-17,BTC / USD
