id,t,s,p,q,date,Symbol
bitstamp,2019-05-17T00:01:07Z,btceur,7058.73,0.09862669,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:01:08Z,btceur,7058.54,0.00141647,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:01:08Z,btceur,7058.52,0.00141647,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:01:08Z,btceur,7058.52,0.00141647,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:03:07Z,btceur,7060.38,0.02213835,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:04:25Z,btceur,7060.39,0.00162202,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:05:41Z,btceur,7070.77,0.06351394,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:05:56Z,btceur,7078.8,0.00250585,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:05:59Z,btceur,7072.34,0.05480195,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:06:07Z,btceur,7077.66,0.0208732,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:07:27Z,btceur,7099.21,0.13852365,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:07:27Z,btceur,7099.23,0.00111019,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:07:27Z,btceur,7100.8,0.43315834,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:07:28Z,btceur,7100.8,0.12450941,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:07:28Z,btceur,7100.8,0.01789481,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:07:29Z,btceur,7102.77,0.0070212,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:07:39Z,btceur,7087.53,0.0013,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:12:02Z,btceur,7099.99,0.001344,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:12:09Z,btceur,7100,0.01404788,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:14:01Z,btceur,7094.59,0.0068279,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:14:33Z,btceur,7099.77,0.01334691,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:15:32Z,btceur,7088.67,0.00796421,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:15:33Z,btceur,7088.68,0.25896674,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:15:33Z,btceur,7088.68,0.03103326,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:15:46Z,btceur,7099.86,0.062,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:15:46Z,btceur,7099.86,3.637e-05,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:15:46Z,btceur,7088.68,0.004,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:15:47Z,btceur,7088.68,0.00061894,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:15:49Z,btceur,7099.88,0.714,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:16:13Z,btceur,7088.78,0.02,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:16:29Z,btceur,7100,0.006,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:16:47Z,btceur,7094.08,0.14731827,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:17:35Z,btceur,7089.09,0.00134423,2019-05-17,BTC / EUR
bitstamp,2019-05-17T00:19:05Z,btceur,7093.92,0.00141062,2019-05-17,BTC / EUR
